Pressure,Temp,nbot,fe_mant,feO_mant,S_metal,silicate_olivine%,ol_frac,C_metal,cf,Liq_frac,ave_ni,ni_err,ave_co,co_err,ave_cr,cr_err,ave_nb,nb_err,ave_w,w_err,ave_v,v_err,ave_mo,mo_err,ave_si,si_err,ave_mn,mn_err,ni_act,fe_act,Ol_D_Cr,Ol_D_V,Ol_D_Ni,Ol_D_Co
3,1933.798,2.76,10,12.865,1,0.01,0.0071,3,0.28667,0.7062,822.021859,448.4944503,99.51024893,21.30170053,0.257291044,0.017878866,0.000165709,5.34E-05,189.4188219,136.9577836,0.053245412,0.005712666,2347.79038,1530.679421,0.000324409,2.63E-05,0.008399099,0.000615747,1.29843,0.48422,0.85,0.86355,1.37203,0.79823
3,1933.798,2.76,10,12.865,1,0.01,0.0071,4,0.28667,0.7062,714.8629165,379.6136951,88.87413178,18.17349382,0.26471503,0.018398831,0.000158079,5.10E-05,191.6980728,139.1795245,0.064387179,0.006908625,2678.441219,1765.183658,0.000238197,1.93E-05,0.008653594,0.000634397,1.29843,0.48422,0.85,0.81292,1.37203,0.79823
3,1933.798,2.76,10,12.865,1,0.01,0.0071,5,0.28667,0.7062,623.5104627,321.7224855,79.56681137,15.54810809,0.27219492,0.018923011,0.00014675,4.73E-05,187.0277321,134.6003303,0.07681017,0.008242432,2992.350805,1988.254068,0.00017276,1.40E-05,0.008911628,0.000653307,1.29843,0.48422,0.85,0.75961,1.37203,0.79823
3,1933.798,2.76,10,12.865,1,0.01,0.0071,5.581,0.28667,0.7062,576.6315278,292.3789432,74.70210994,14.21808936,0.276175376,0.019205874,0.000139694,4.50E-05,181.5498755,129.2684736,0.083854605,0.009002886,3163.667681,2110.346581,0.000145127,1.18E-05,0.009048476,0.000663353,1.29843,0.48422,0.85,0.72801,1.37203,0.79823
3,1922.735,2.667,10,12.865,1,0.1,0.0713,0.001,0.28667,0.642,1161.416064,608.8879681,134.4068986,31.16823517,0.214981556,0.014968317,0.000145436,4.65E-05,138.6888964,88.72196434,0.024279798,0.002615443,1382.621946,853.4497875,0.000806336,6.45E-05,0.007463688,0.000550061,1.3321,0.50362,0.85,0.94786,1.58553,0.84839
3,1922.735,2.667,10,12.865,1,0.1,0.0713,1,0.28667,0.642,999.1082763,512.5940385,118.9927608,26.34406496,0.221719061,0.015439516,0.000153725,4.92E-05,161.300329,109.1478591,0.030974702,0.003336607,1707.777638,1081.490433,0.000620675,4.97E-05,0.007705178,0.000567851,1.3321,0.50362,0.85,0.91781,1.58553,0.84839
3,1922.735,2.667,10,12.865,1,0.1,0.0713,2,0.28667,0.642,862.5498707,432.3062892,105.6519581,22.33395206,0.228507821,0.015914477,0.000156407,5.00E-05,178.2142555,125.021279,0.03883763,0.004183596,2049.480488,1322.744309,0.000469007,3.75E-05,0.007950249,0.000585904,1.3321,0.50362,0.85,0.87929,1.58553,0.84839
3,1922.735,2.667,10,12.865,1,0.1,0.0713,3,0.28667,0.642,747.2222062,365.2161212,94.07003522,18.99228287,0.235344472,0.016392971,0.000153806,4.92E-05,188.0713975,134.4777014,0.04792475,0.005162484,2396.423382,1568.763076,0.000348786,2.79E-05,0.008198742,0.00060421,1.3321,0.50362,0.85,0.83451,1.58553,0.84839
3,1922.735,2.667,10,12.865,1,0.1,0.0713,4,0.28667,0.642,649.3834348,308.9941984,83.97613653,16.19809556,0.242232371,0.016875242,0.000146708,4.69E-05,190.4926222,136.814124,0.05828079,0.00627814,2737.388491,1811.236913,0.000255769,2.05E-05,0.008450743,0.000622774,1.3321,0.50362,0.85,0.78541,1.58553,0.84839
3,1922.735,2.667,10,12.865,1,0.1,0.0713,5,0.28667,0.642,566.0311837,261.7646259,75.14726726,13.85400851,0.249174872,0.017361534,0.000136158,4.35E-05,185.9642755,132.419706,0.069931374,0.007533413,3061.681384,2042.297874,0.000185251,1.48E-05,0.008706346,0.000641604,1.3321,0.50362,0.85,0.7337,1.58553,0.84839
3,1922.735,2.667,10,12.865,1,0.1,0.0713,5.555,0.28667,0.642,525.4978717,239.2076145,70.76035098,12.7268637,0.252681998,0.017610468,0.000129925,4.15E-05,180.8427642,127.484101,0.07622405,0.008214533,3231.265552,2163.476506,0.000156868,1.25E-05,0.008835169,0.000651111,1.3321,0.50362,0.85,0.70442,1.58553,0.84839
3,1910.203,2.557,10,12.865,1,0.2,0.1427,0.001,0.28667,0.57067,1006.690603,445.2624306,125.1846923,26.75245086,0.194197952,0.013570089,0.000136214,4.31E-05,140.9817187,89.81739471,0.021414371,0.002318589,1431.09502,889.7059688,0.000893253,7.06E-05,0.00733217,0.000543604,1.37467,0.52864,0.85,0.91307,1.86639,0.91437
3,1910.203,2.557,10,12.865,1,0.2,0.1427,1,0.28667,0.57067,865.2810361,374.6951271,110.7634419,22.60671511,0.200384171,0.014003319,0.000144057,4.56E-05,164.2828171,110.7657627,0.027445597,0.002971447,1771.220205,1129.213035,0.000686821,5.43E-05,0.007573303,0.000561474,1.37467,0.52864,0.85,0.88406,1.86639,0.91437
